,text,aspect,label
2794,How to switch to Portuguese?,switch,1
2240,and i have faith that the apps will get there soon,apps,2
2772,"i am a teacher who uses notion, and i was under the impression that i had access to the ""personal pro"" plan for free because i work in education.",free,1
2450,"reduce service charges, provide daily super bag as committed",daily super bag,0
290,"notion is great on pc, but the android app really does not feel that well designed.",Notion,2
2196,paypal for payment of pro plan?,payment,1
960,"prompt service, kn time delivery","service,",2
2667,The tool is powerful and ingenious on the PC - certainly the best task and project management on the market.,market,1
2600,"hi, i am trying to upload a video to the uploads section and it downloads the whole thing but does not complete it",uploads,1
2319,"I have already set all my pages to have small text, but on the mobile app the text is so large that i can barely see a few lines.",app,2
1173,inthis regard i loose one packet of 500 ml milk i am very unhappy with super daily,milk,0
1178,"at ignite student union, we support over 33,0+ at humber college and the university of guelph-humber.",student,1
1399,@notionapi @notionhq please add columns/blocks that can be placed next to each other to the ios app.,iOS,1
2813,i used to add videos but now they seem to be buy only,buy,0
3611,Best organization and productivity app.,productivity,2
2560,so i can ensure you are linked to the purchase when i make it,purchase,1
1211,"our external keyboard and trackpad support could use some polish, I will share this with the engineering team to look into further for future improvements, and appreciate your feedback on this we have been working on lots of mini-projects over the past couple of weeks, I will nudge the team to bump this back up the to-do list.",keyboard,0
2939,Air Table is great for organizing stamps and dies.,stamps,1
344,overall a good app.,app.,2
54,those promocodes are not valid,promocodes are not valid,0
3319,on time delivery and customer service,customer service,2
895,"what an amazing chrome extension for @notionhq!
",chrome,2
3105,"Airtable was a breath of fresh air after decades of Google Sheets but it’s starting to show its age. 

Multiple views are broken on mobile. One can’t edit notes sections because the keyboard covers the viewport. On a 12 pro it’s usually not terrible unless editing one of the bottom three fields but the app is useless on a 12 mini.",Multiple views,0
1144,"Let me change column widths, why isn't this a thing yet?",column,1
3558,I have used @evernote for over a decade for note taking and project management.,project,1
2621,I am concerned my account has been compromised .,account,0
371,"now, we have a zoomable scene timeline, so if you press ctrl and scroll down on your keyboard, the scenes below will compress to give you the whole video's view, and then you can move the timeline marker to play from a specific spot",scene,1
2699,why are you trying to make an android app to an ios app?,Android App,0
2312,your quality of delivered goods is worst,Your quality,0
3594,notion shines on the desktop version but it becomes a she will of itself on the mobile version.,Notion,2
1186,"so i had to recorded a slow motion video with my phone, because even a normal recording was not fast enough to capture the flickering.",recorded,1
3746,@kaushikb9 @mittuled @evernote @notionhq thankfully i just switched from evernote to @notionhq last month.,switched,2
66,maintain proper temparature of milk pocket n vegetables also not fresh.,vegetables,0
33,"I love the program, only in the mobile and iPad app the filter view doesn’t work as practical as in the desktop version.",filter,0
461,"there needs to be a ""main"" calendar or database that can display all of our assigned",There,0
2714,"When I made a payment of $ 74.97 / month / 3 members, Asana sped on it for 12 months",payment,0
553,this app has massively improved in the past year and the pc version is a god-send!,PC version,2
2347,"in other words, for invideo to perform correctly meaning any issues with editing would be derived from invideo software issues/bugs vs related to my connection.",edit,1
661,The app with the latest update has become less friendly.. when you see a task and exit it returns you back to the start and you have to walk through all the tasks to get where you were.,task,1
519,"Finally got an email to set up my account, new review pending.",email,1
1419,prompt delivery and the helpful staff.,Prompt delivery,2
1748,"hello, I have had a couple of staff members report notion has being slow in the last week or so (desktop + web).",slow,0
348,hi is it possible to copy a page with it is permissions?,copy,1
1146,notion is the best organization app I have ever used.,organization app,2
909,my order was wrongly placed and delivery boy was worrest manner,order,0
3292,"I use this app for everything Expenses, Asset Management.",Expenses,1
2127,can you also please share the email from which you upgrade the plan?,upgrade,2
2814,"hey, how do i remove this build your own scene and actually drag my uploads to be in the timeline?",drag,0
1910,i love this app!,app,0
1856,you can check the features of the plan on the pricing page,plan,1
1043,"I love to make lists and this app really helps me make useful, detailed lists and more!",lists,1
2476,Best way to track tables on mobile ever,mobile,1
2431,on some days the quality of milk is not good.,milk,0
1934,while i am waiting.on one template it has letters with splashes of color inside each letter.,color,1
2400,"hi brandon, how do i copy two scenes from the storyboard and add these to a new video?",storyboard,1
3249,can you find it in my projects?,Projects?,1
3900,one of the best apps for productivity out there.,apps,2
2966,"Doesn't allow login, you have a login error, pop-up window is displayed for login, but immediately login options disappear",login,0
3696,order not getting delivered since last 2-3 times and shows delivered..,Order,0
2809,"Air table is easy to use, powerful, and well designed for mobile.",well designed,2
2232,"here are screenshots of the database in table view, and in calendar view by 'upcoming date'",data,0
3597,sorry for the slow reply paul,slow,0
2193,"Introducing new things for certain teams is more difficult, and without the experience of managers without good management, generating ease in administration would be a differential for us to migrate from a system.",teams,1
833,can i separate the audio from the video?,audio,1
1488,"apologies, we do not have custom size you can resize only in 3 dimensions available",resize,1
866,superb work of your team.,Superb,2
2630,Seems really useful but it crushes every time when i try to get in card details like “baloon adventures > san francisco,card,1
1379,"however, one negative thing that i believe is crucial is that you can not select text for more than 1 block.",1 block.,0
2530,instead of charging 20 for delivery you may reduce it to 10 or 1 rupee per item,delivery,0
2358,it is cancelled but it will be cancelled at the end of the period i.e on 3rd june,cancelled,1
2616,i got it on my windows pc at first and now on my phone,phone,2
2384,"great app need inprovement, on android 8.0 swiping left to right brings up the page tab on the right i just want to swipe from the undo button to the + button.",android 8.0,0
322,very useful note app ever seen.,app,2
2711,my card has been swiped without my authorization,authorization,0
1129,original soundtrack of the uploaded video?,sound,1
3076,"prompt, efficient and good quality service",efficient,2
2967,"can not even start the app as it displays the n logo and no visible indication of what is happening (no loading bar, no spinning animation, no text, nothing)","spinning animation,",0
2058,"same as yesterday, clash between video and background music",music,1
2636,web and all iphone products,iPhone,2
548,service fee you are taking that is fine but cancelling few orders items that tok in city like hyderabad is a mess .,Service fee,0
3304,but i did try cancelling but the website ended up not going through,cancelling,1
2639,"the sync algorithm, for example, has to be improved.","sync algorithm,",0
3542,one of the words actually turned into a bunch of code lingo.,code,0
850,adding template is a burden as you can not scroll downwards.,template,0
443,how can i pay my subscription?,subscription?,1
2826,"it is where i can put my logo, website url",logo,1
1645,"Cancellation of subscription is HORRIBLE - very unintuitive, difficult, unpleasant experience.",subscription,0
3881,"hi there, i had some issues today with the video stuff, i talked with brandon and hermangi, i noticed that because of all the exports i lost some of the premium stock stuff, but i always did the same video (there were complications)",Premium,0
2454,it looks like the timezone can not be changed if the database is locked.,timezone,0
2916,best management tool,Best,2
3121,the quality of ur fruits nd vegetables have been lowered.,fruits,0
1121,"when i see a web page that i want to add to it, i click on the notion extension in firefox, i choose the database and hit enter.",web,1
2884,"reliable service, great customer service team",customer service,2
3299,the app takes too long to open.,app,0
3939,"many times i find vegetables delivered are underweight and on complaining, you said only sorry.",vegetables,0
3052,"please feel free to reach out anytime if you have any questions, suggestions, or feedback!",free,1
1288,"what a app, I am lost for words.","app,",2
3653,invigilate your delivery person.,DELIVERY,0
3508,i just keep seeing the notion icon forever.,Notion icon,0
2246,is there a way to change the in text animation lenght to less than one second,text,1
872,daily timely delivery dy',timely delivery,2
1444,non delivery issues are increasing.,deliver,0
1106,I love Airtable but this app is totally pointless without the gallery view as my projects are image based.,view,0
1846,when do you think we will be able to access our notes again?,notes,1
2673,Most powerful thing about Airtable is being able to see and adjust information in different views.,views,1
3652,"the app does not run on android 6, at least on my meizu m5s.",app,0
376,notion worked for a time and now just stops at the loading screen.,Notion,0
1735,"apologies, you cannot change it during the editing.",editing,1
3675,I’d like to only view my highest priorities,priorities,1
1163,potatoes were very dirty.,Potatoes,0
800,stop cheating customer,cheating customer,0
3735,there are certain items which are not up to expectations and price charged from customer .for,price charged from customer,0
3648,"when i login again, its give me new space, thehe is no my old notes for my business, acc is on .",login,1
1762,milk is supplied anytime between 5 to 8 am.,Milk,0
236,I am using Iphone 5S,Iphone,1
675,but android app really sucks.,Android app,0
1961,"it should be faster like keep notes, journey, dropbox paper, etc","Dropbox Paper,",0
2046,It's really tough to reply to someone's comments,comments,0
235,love this app to pieces!,app,2
1004,but in offer it says $5 monthly,offer,1
3376,"I am loving @notionhq, and i also loved the process of designing my own template kaya i decided to organize all of m.",organize,1
1891,timely delivery and convenience of ordering daily essentials.,convenience,2
1350,"I’m using Airtable for couple of days and I liked it, for easy to use, good interface and especially that I cant put attachments for base.",attachments,1
2664,"in the quick find search, i can find all these pages by typing english characters but they do not show up in results while using the database search engine.",database,1
1603,very feature rich app.,app.,2
2278,"i then did the ""create linked database"" to add it to a dashboard page.",dashboard,1
684,grocery at early hours,Grocery,2
3079,you will have to download from youtube and then upload it and add it on the scene.,youtube,1
2429,also remove delivery charges,delivery charges,0
978,Wish the app had offline feature and made it easier to view bases,view,0
1105,I am working with 10 videos in one scene so i have to use advanced timeline,scene,1
3600,packing and delivery of breads cakes is very bad.,breads,0
1074,hope to see cool new features and apis in the future.,APIs,0
3455,i got my notion devices from my homeowners policy and said to download app to install notion devices. ?,app,2
2685,by delivering groceries and not cancelling order,delivering groceries,0
3221,but android app is not as fast and snappy as using web or mac app.,android app,0
2923,This really is a great database and extremely easy to get to grips with.,database,2
2115,it is how i keep all my backups of their code.,backups,0
518,its take too much time to open.,Its,2
3027,good service.. useful for covid-19 safe home..,service..,2
3280,"hi, i tried many different card but still keeps saying check the card details.",card,1
2750,Please add support for fingerprint (biometric) login (lock).,login,1
1349,"App doesn't launch (MIUI Global 12, Android 9)",Android,1
3846,"for now it is ok - it is just something i think you should know, plus it took extra time for me to have to keep going back in to delete the logo again",logo,1
143,"ah ok, look in the layers panel, if the text is locked, unlock it, then do so",text,1
464,"hi, the function ""search on google""",Google,1
145,"prompt, customer friendly, quick customer service for complaints",customer service,2
2038,"the only thing that is missing is a widget, having a widget would make it easy to have the schedule/other stuff at glance.",widget,0
1067,i want to beautify one of the image as the background looks very ugly.,background,1
1336,didn’t even get through the login screen.,login,0
1716,atleast keep updated to customer.. whatever the status of delivery,delivery,0
1413,"prices, offers, some products with best prices","Prices,",0
1662,p was a good shortcut for search in a web app when it is the browser shortcut for print .,shortcut,2
683,"and then copy from memo, it works",copy,1
3790,"great app, but can sometimes take too long to load (5s +).","app,",2
989,"i fell in love with notion because it is easy to use, has a clean design, and an intuitive interface.",interface.,2
2160,Black / dark themes needed,dark themes,1
2321,I am using this for organisation for my itinerary of craft items & it’s working like a dream.,craft,1
262,"I love Airtable, but I really wish the iPad app had feature parity with the web version, specifically with grouped views.",iPad,0
491,"for that, I have created a ""projects-timeline"" (attached image) workspace in which we layout all the project's key steps/tasks by ""stages"" and the people that are involved in each step.",layout,1
1244,did not get delivery two days in a row that too a bew cuatomet,delivery,0
3861,For some reason this app is very limited compared to the browser version.,browser version,1
2003,it provides a very bad ux and the app lags heavily.,app,0
2365,it says I am not connected to the internet and will not work,internet,0
751,Where is timeline in mobile app???,timeline,1
811,i know notion is already working on supporting different languages because and the korean language is a huge milestone due to its complexity.,supporting,1
3661,"i compressed video using handbrake video editor, file currently at 58mb, what format is supported, did not accept","editor,",0
18,"so, you can use 10 istock media only in a month",iStock,1
2783,: please update the tax number on your notion account,tax,1
1038,but why does my scene zoom out on each picture,zoom,0
1625,i am finished with my first project and want the music track i selected to fade at the end of the video,project,1
2835,"in the screenshot of the speed test, the upload speed is 0.",load,0
1917,"have a look whenever you are free, it will make using the tool a much more easier and enjoyable experience.",free,2
2998,"could you add an ability to create widgets, that is the only thing i miss in the app.","widgets,",0
1234,that is 180$ for unlimited plan,plan,2
212,quality of the veggies and fruits are hopeless.,fruits,0
2271,but i want to buy lifetime deal,lifetime,2
213,delivery guy must leave the milk bag at the door and not at the building gate.,milk,0
2314,I used to work on Trello and started using Airtable since last few months.,Trello,1
1325,"hi, i have a notebook containing 191 notes in my evernote, i want to import all those notes to notion, but when the import task finished, only the latest 30 notes were imported.","Evernote,",1
1305,absolutely love how customizable this app is.,app,2
1573,we want to understand it the timeline gantt view can be used for such projects/tasks to replace the use of ms project.,timeline,2
304,"sometimes tightens, lately I can not update.",update,0
801,fleeing back to evernote.,Evernote.,0
2452,app is great.,App,2
2018,Really helpful addition to the Web app but restricted.,Web app,1
242,when suprdaily came to my society and put up promotional canopy it was promised that there would be no delivery charge ever.,Suprdaily,0
3530,"first, the app needs to work properly.",APP,0
3567,"I worked long and hard on a chart of my family heirlooms—quilts, a cooking fork, paper weight, candle sticks, books, photo albums—only to have it disappear in an update.",chart,1
2764,ensure daily delivery of mahananda milk.,Mahananda milk.,0
2554,get you a best friend who does not block your number even tho,block,0
1631,it works well on my desktop app however for my mobile app,mobile,0
1472,complaint lodging system is not user friendly,Complaint lodging system,0
3321,today i found out that @notionhq has a free plan,free,2
2287,i like notion but there is one thing that is really annoying.,Notion,2
682,there is nothing in the spam folder :(,spam,0
1937,this note is good but the app is not good.,note,2
2811,prompt delivery and quick resolution for issues,Prompt,2
3118,there is a new feature in my ultimate tasks @notionhq template - cold tasks!,template,2
902,why is my dark mode gone all of the sudden from the app?,app?,0
2755,"keep it up folks, I would like to see the ability to record audiofiles natively in the app.",app.,2
3851,all of my high resolution cover image will not show,All,2
1236,improve your delivery patterns there is no consistency on delivery as on any day the product is not delivered,delivery patterns,0
480,i tried to remove the password from the settings.,password,0
3305,@notionhq little unclear here - are guests free if we are on a paid plan?,Guests,1
159,milk delivery boy is telling we will not do door delivery milk you will have to keep bag near society security cabin.,delivery boy,0
3441,just blank logo screen.,Just,2
3040,maintaining regularity and prompt delivery.l,prompt delivery.l,0
3075,by communicating clear msg,communicating,0
2070,Really frustrated at the moment that I cannot log into my airtable account on mobile without allowing air-table to access all my google contacts.,log,0
1816,the deliveries are very punctual.,deliveries,2
1083,but if you export and then enter the project again to edit it will appear again,export,1
2744,i use notion on desktop and it is absolutely amazing there,desktop,2
1454,My review disappeared so again: Works quite well but offline functionality is terrible.,offline,0
1611,do you have a link to that offer so i can take a look at it.,offer,2
3162,"when i adjust non premium media , it show also remove watermark",media,0
2008,my account is now showing free plan - lite,Free,2
664,"hello, i was going to try a trial",trial,1
3251,Make an error when trying to log in.,log,0
2272,I couldn't access the app and subscribe,subscribe,0
2778,the $10 is the yearly plan i.e. you will be charged $120.,plan,1
310,the video is not uploading to the video,upload,2
1445,"but you guys did not use my email, my bank account was used in the refund","email,",0
2407,can i pay through netbanking?,pay,1
2318,very slow interface and loading time.,interface,0
2584,"hi, if i use premium video clip in multiple projects, will i be charged for each time i use or download a project containing that particular clip?",download,1
968,i thought that i already canceled my subscription,subscription,0
2027,It would be great if it can use the lightweight function on the Apple Watch.,Apple,1
2951,love this functionality of this app but mortified to discover that it will not even load without an internet connection.,app,2
2331,"We loved wunderlist for its simplicity and ease of use but then Microsoft bought it and ruined it so we had to look for something else, and we have tried 6 other options before we came across asana and we love it",bought,0
272,you can literally create an entire workflow and productivity powerhouse within this one app and delete all the rest.,workflow,2
490,the vegetables which you guys deliver sometimes not fresh..,vegetables,0
3624,the overall concept is great and the app has great features.,app,2
2191,"on unlimited plan you get 120 istock media, 40 remove background image and unlimited premium videos",background image,1
1123,"It's cool, but there's one freaking point: pitches and sorting all the time.",sorting,0
2103,"@godito @ramsescabello @leslee_annsh @trello @mirohq @notionhq @figmadesign @zeroheighthq also, project managers sh.",project,1
3707,"barring few items such as onions tomato and potato, quality of product supplied is very good.",tomato,0
514,"Quite a good app but could be (much)better. Here's what's wrong...

Bases can't link to one another. This restriction really holds back possibilities, like, say, a single CRM base (with customers, tasks, etc.) that's SHARED by any/all other bases

No offline support whatsoever. Cannot even VIEW without a connection. Bummer.

It's tedious (and/or privacy-invading) to add pics/attachments. I don't want to share my entire iCloud photo library. I DO want to simply copy/paste into attachment fields!

Share menu? Also would be handy to add images, or anything, from other apps to bases via iOS share menu

Collapsible editable groupings of fields (in form view and/or table view) would be FANTASTIC to reduce scrolling and organize 

Vertical scrolling to navigate between records is a huge hassle when there are many fields. PLEASE add next/previous buttons or allow swiping sideways to navigate between records (at least as an option in settings.)",Share,1
467,I’ve always HATED MS EXCEL.,EXCEL,0
416,but it comes up as trial 1 member,trial,1
3175,prompt and efficient service,efficient service,2
3012,implement free delivery charges or give some discounts if i am recharging monthly,delivery charges,0
487,quality of fruits and vegetables and variety of products,vegetables,0
2849,The app is working great and it sure improves my productivity.,productivity,2
3729,how can i delete music and scene from the project ?,delete,1
2252,by good customer care help line as there is no response anytime on ur gvn numbers nor d what is app helpline.,customer care,0
217,why it takes forever to load the video for me to preview in editing,load,0
2386,"it has great tools, but is so glitchy on my phone and on my ipad (which i hoped would be better).",phone,0
3250,please add support to android feature such as widget shortcut and share system,Android,0
1863,"Not sure why this gets such a high rating, it’s so limited on mobile.",mobile,0
1771,"you can change it for me for kindness, i would not like to have the annual plan but the monthly plan, before I am even charged",plan,1
2434,can i group tables by multi-select tags?,Tables,1
2502,"As former forces, we used a simple, but effective method to get the job done:

SMEAC
• Situation 
• Mission 
• Execution (of the mission, not your team… since no one would be left to make you coffee ☕️‼️)
• Administration 
• Communication 

I’m able to use exactly the same with Asana and get the same results in my business. Quickly, efficiently and as part of a team (without any blood stains or missing persons reporting).

I have 259 different apps between my iPhone and iPad. If I could only keep 3; 
• Notability
• Asana 
• My car key would be it (It would just be too expensive smashing the window every time I needed in the car).

I hope you guys have won awards! 🏆 You have certainly deserved it.

Bravo‼️

PS: I would recommend Asana for your business or if you need to organise your life. It’s worth every penny and it’s fairly good I suppose…",Communication,1
1849,"love notion, and the ipad app keeps most of the features from desktop -- it is totally functional for my everyday updates and note-taking.","Notion,",2
2446,best productive app i have ever seen.,app,2
107,if you want to make the most out of this app browse templates online that suit your work flow best.,app,2
835,i wand to edit the audio,AUDIO,1
2944,"i do not have a laptop or computer anymore, only an ipad",iPad,1
3362,"however when you introduced delivery charges stealthy in apr20, you just did not inform me - neither there was sms nor wa msg - but kept on deducting delivery charges randomnly.",on deducting,0
1897,"apologies, these details are not visible on the premium plan :(",plan,1
2013,"of ok sounds good, how / where do i remove the animation at the beginning?",sounds,2
1373,this has all of them in one app.,app.,2
2887,"everytime i launch my workspace for my team, this happens:",workspace,1
1108,less inventory/options as compared to other apps.,inventory/options,0
1125,This app won’t let me use multiple orgs like the website FAQ says.,website,0
1618,the app is great and supports everything that you can do on the web/desktop versions of notion.,app,0
3403,"when on laptop, login into your account.",laptop,1
597,not happy with delivery charges of 2 rs on subscription amd 20 rs on single item.,delivery charges,0
577,sorry i should say it does not play as a facebook cover on my mobile.,facebook,1
1938,literally started to improve myself after installation of this app!,app!,2
901,"the page was called journal, it was the default journal page that was available","Journal,",1
3366,i am giving up notion mobile app.,Notion Mobile App.,0
3360,"i tried to like the app, but its too complicated to use.","app,",0
438,extremely prompt &quick resolution in addressing greviance.,&Quick resolution in addressing greviance.,2
3180,"love notion, and the ipad app keeps most of the features from desktop -- it is totally functional for my everyday updates and note-taking.",app,2
243,so the drafts can not be removed from my home page?,removed,1
2568,"on time delivery, quick refund process","delivery,",2
3188,ah so did that turn off the volume for just that one scene?,scene?,1
1994,My small construction company has been using Asana for almost 6 years now and this most recent App update which made a pretty big overhaul on the Inbox which has made it almost useless while trying to work in the field.,company,1
2701,"it would be better if the notes are saved for offline use automatically without having to visit, because when i open the app on another device i have to revisit each note for offline use.",offline use,0
316,"supr access then automatically supr access should be activated and help the customer for full month waiver on service fees, despite bringing it to the knowledge of you nothing happened, feel like discontinuing","service fees,",0
35,i uoload can remove the background,background,1
3639,"When I open Asana on iPad it always asks you to update, update and ask you to update again! ,",update,0
149,colums in mobiles and ios 2.,ios,0
990,product delivery gets cancelled without intimation,Product delivery,0
2722,"Love this , I can catalogue all my craft goods , and having the table form is absolutely easy for me to read and see if I have doubles , but this helps for when I’m shopping for more craft goods",craft,1
2074,I had downloaded a storage tote tracking utility app.,storage,1
1315,"i have no idea how to do this, i assume this occurs when i paste the video into gif.",paste,1
1553,i really love notion but buggy android app is a major set back for me.,android app,0
1427,"i love the platform, but the app takes a long time to load.",app,0
2257,"# notion is an equal opportunity organization and will not allow discrimination based upon age, ethnicity, ancestry, gender, national origin, disability, race, size, religion, sexual orientation, socioeconomic background, or any other status prohibited by applicable law.",organization,2
178,I can’t sign up or log in,sign,0
1966,"hello, how could i use analog of shift+enter combination on android?",Android?,1
3818,availability of products displayed,Availability of products,0
131,"i just uploaded an image in the ""logo"" section.",logo,1
775,Can’t even sign in with a simple email and password without using sign in with Google.,sign in,0
3161,i like notion on the mac/web but the mobile app is way too slow.,Mac/web,2
1959,"i added someone to my team to collaborate on projects, but i do not see how to share the project with them",projects,1
3291,i have purchased fruits like watermelon and puppaya the quality is very poor.i did not expect you will supply like this,fruits,2
541,"syncs across devices, notes can be shared easily as.",Syncs,2
1585,timming are gd for prossecing customer order & customer issue resolved quickly,Timming,2
3202,We signed up to a brief trial of Asana but decided it wasn't for us compared to an alternative option we found.,signed,1
130,Easy to use app for cataloguing items.,cataloguing items,2
3155,Submission posting attachment with text always separate post can't be combine like posting from desktop.,desktop,1
1661,Great tool for collaboration and organizing information and ideas in a way that produces insights.,organizing,1
2421,issues not resolving about wrong delivery,wrong delivery,0
1739,it keeps crashing the moment i open the app.,app.,0
2973,"i love notion as a whole but the quality of the app, ease of use needs to significantly improve.",ease of use,0
1561,"please cancel the plan and let me know,",plan,0
2214,how do i add my code to invideo subscription plan area?,subscription,1
1823,connect to customer on phone like previously,Connect to customer,0
1536,"exelent app, it has helped me get all of my notes and ideas in place.",notes,2
2845,the video is not loading in the trimmer part,trim,0
206,"promptness, ontime, price",Price,2
2060,no widgets & loads slowly in android phones,android phones,0
119,Iphone 7 does not work - next to the first screen does not go,Iphone,0
69,1) add that video to both scenes.,scene,1
442,can i ask for an invoice since the first time i subscribed until now?,first time,1
492,"notion has not been functioning as of recent, it does not respond at all.",Notion,0
1475,"platform is good, but the android app does deserve the relatively low rating.",Android app,0
1446,i have pictures of the slides (with each slide a separate picture) and on the right i have the corresponding notes for each slide (all in one long text block).,picture),1
1134,no one in the support centre knows who is going to deliver the milk they do not even have their number from morning 7 a.m.,milk,0
1400,"I have lost data after a computer restart, and now i need to pay to enable the page history to get it back?",data,0
317,"please change the emojis in android, and please make the animation pf opening or closing pages smoother in android.","android,",0
2305,"For the company or team can update the process, task, and summary all the things in just one application which is really convenient for me",task,1
3738,"initially, you guys promoted with free delivery charges & now there charges taken against each packet of milk, which was very disappointing to me.","milk,",0
2062,"not as fast as other options, but considering the power and flexibility, it is beyond worth it.","flexibility,",2
1177,"7:22 pm gmt+2  wrote: hello we are reaching out because we do not have a tax number such as a value-added tax (vat) number, or goods and services tax (gst) number on file for you, or the number we do have on file is invalid.",file,1
2728,wait a second.,wait,2
175,packets of milk and butter are dirty,butter,0
1459,after entering the login data bila screen... and nothing.,login,0
2962,clearly the best note taking app I have ever used.,note,2
114,Great app for creating tasks and tracking them.,tracking,1
3405,Excellent for organizing equipment task List of nested subtasks is super useful.,subtasks,2
1671,"notion team, please change your icon on android to match other icons.",Android,0
2532,I love Asana but its iOS app has an annoying bug in which its task descriptions lose its bullet formatting (bullet points and numbered bullets) when I update and save my task description.,update,1
1272,prompt delivery immaterial of weather conditions,delivery,2
1835,it is so seamless and fast to use but only on computer.,computer.,0
525,This app never opens for me.,app never opens,0
3849,It's a very good application for organizing within a small company.,company,1
2583,would you be able to email the information you just provided me including the discount code please,email,1
1391,"i would like to cancel my free trial, however there does not seem to be a button for that.",free,1
1993,could you please suggest a search expression if i want to see what kind of options you have for intro videos for online events?,search,1
1555,can you once try on some other browser like firefox or edge?,browser,1
3120,"if you are not the recipient indicated, you are notified that the use, disclosure and/or copying without authorization is prohibited under current legislation.",notified,0
1677,when i download it it gave me a blank screen,screen,0
2033,and change only my texte,text,1
2802,And Russian languages,Russian,1
2167,i would rate it 5 starts but for some reason the app has been refreshing every minute or so when i am using it.,app,0
2460,I have added that domain to that workspace on my end.,workspace,1
3961,Love the free version to manage day-to-day operations and multiple projects.,free,2
3196,including the loading speed and display layout.,display layout.,0
1353,"Not sure why this gets such a high rating, it’s so limited on mobile. Thought I’d try Airtable as an alternative to Notion, but quickly found its features very limited compared with what’s advertised on their web sites front page.  The lack of Kanban board views is an instant killer for me. File uploads also seem to get stuck and never finish if I tap the image icon, but works if I tap the 3 dots!  You can’t even create formula fields on mobile. Drag and dropping photos on iPad from other apps to records also doesn't seem to exist. From the brief time I’ve spent using the product I’ve just hit so many limitations, it may be great on a PC but it’s no good if mobile is your primary interface.",File,0
3514,copyright-free music reseller rights advanced editing,editing,2
2652,it would be great if it had a homesreen widget to link a specific page / favorites / quick note etc.,favorites,0
1785,shoutout to @indifyco for the new button widget for @notionhq,widget,2
1906,"Great organizational tools for working with your team, remotely or not.",team,1
2989,"also, go ahead and make widgets for notification center on macos.",macOS.,0
2091,did they change the way to delete an image.,image.,1
2607,can you drop an invoice/email with the terms of this deal too?,email,1
2615,good app but the slow performance ruins it,app,2
460,"would you mind providing me your university or college's educational email address and your school's website, please?",school,2
