,text,aspect,label
2032,"what would really take it to the next level though, would be adding a notes option for ipad and creating widgets for both ipados and ios.",iOS.,0
3592,"hi, is it possible to add sound effects on text to video templates?",text,1
1963,so i created a webinar and clubhouse database in @notionhq,database,1
1166,copy & paste could not achieve?,paste,1
1019,so how do i add a youtube video,YouTube,1
2810,"Super happy with it, but drag n drop of tasks does not work on iPad properly",tasks,0
612,"This is a fair, if not great, implementation of an amazing web app.",web app,2
2908,"Love Asana, but latest updates take the app many steps backwards.",latest updates,0
3534,did not receive milk bag which was free,milk,0
1681,i did not receive the bag whereas others have bata hanged,bag,0
440,it is just such a shame that the developers pay no attention to the ios app,iOS app,0
170,Great app to help our projects stay on track.,projects,2
3032,supr is known for no delivery charges.,DELIVERY CHARGES.,0
857,super laggy omg,Super,2
1979,but it says some issues with music and videos?,music,0
3782,notion is amazing.,Notion,2
3513,"hi i would like to pause or cancel my invideo subscription, i paid for the last two months and have not used the platform, although i am very interested in using the platform, i have not had the time to learn it.",paid,1
1088,"when i tried to move a few columns from this table to a new page, each column got copied as a new, blank page",columns,1
1130,"and it takes minutes to load just a page, nevermind the whole app, on a flagship phone!",app,2
513,please make the iphone app responsive.,Please make the iPhone app responsive.,0
429,"however, you cannot add new blocks afterward, but you can delete existing content blocks to free up your storage.",free,0
2580,this app changed my life .,app,2
2114,"The application is quite extensive compared to other task applications, but there are a couple of problems and missing features that I have detected.",task,1
3752,certain keyboard functions are not compatible with the app.,app.,0
3039,"i did not use this , so i want to delete mu account",account,1
2499,and your card details have been purged,card,0
2158,quantity and quality needs improvement.,quality,0
3730,"i love the desktop version, but when i want to start the mobile one, it takes forever to load","desktop version,",2
2449,ok that sounds like a good idea,sounds,2
3151,too long time to open = trash app,APP,2
1417,did not got supr daily bag.,supr daily bag.,0
1821,"same on mac, ios, and safari",Safari,1
3295,the dark mode is not fully dark (black),dark mode,0
2850,please add dark theme to android 10.,Android 10.,0
3056,one more question: how can i change the style of transition from scene to scene?,scene?,1
1787,Oh heck no!  Delete!,Delete,0
2784,no timely delivery..also missed out many delivery without any refund,timely delivery..also,0
1127,"i recommend doing most of your editing on the computer app, and using your phone app for things like checking your planner.","app,",2
3717,can i start a free plan and then upgrade that to a business plan?,free,1
1954,a note taking app.,app.,0
600,hello please can i cancel my subscription and get a refund as i have never used the platform.,cancel,1
3807,by better customer service.,customer service.,0
1844,This has helped my agency manage projects and client info in an easy to use platform!!,client,2
3131,love this tool!!,tool!!,2
1401,"we are based in the uk, and our uk vat number is , do feel free to add that to the account, or alternatively point me at the right place",free,1
2337,"the android app has some performance issues and minor quirks meaning that i would use the web or desktop versions for making large changes, creating templates, etc.",Android app,0
3134,"hi notion team, any way to create a template in a database with a default date property today?",template,1
1200,web version is top notch though but this mobile version is hindering my transition from evernote.,Evernote.,0
3043,"timely delivery is needed and worst customer support, improve it","customer support,",0
3519,I like the flexibility - you can adapt it to exactly what you wNt it to do.,flexibility,2
3992,"@notionhq I am finally addicted to you moved all my spreadsheets and doc, & organised everything.",organised,1
3099,"well for now I am going to take the monthly plan, because the truth as i have a lot of development expenses, i find it a bit difficult this month at $ 500, but i do take the option into account, because at the moment one of my platforms starts to generate that it will be throughout the month of may and june","plan,",1
1002,"reason, I am giving it 4 star is because in the app details it is mentioned that app work offline as well",offline,0
400,"however, a major issue for me is the swipe right from thr left edge to access the drawer.",left edge,0
3989,"i also see you have been with us for a while, why not take up an unlimited lifetime plan at a discounted price, where you pay once and get unlimited access for life :)",plan,1
1767,working on a ppt & first thing i googled was why ppt templates on notion!.,googled,1
547,reduce lag while typing significantly 3.,lag,0
1773,its better to ask local vendor to deliver on monthly basis at least milk w/of any such fees.,milk,0
1890,Hopefully you have among your plans that someday your application will reach its web version in functionality and stop being so useless,web version,1
709,no regular delivery,delivery,0
3463,it is faster for me to chisel something by hand into a stone tablet than to try and use this app,app,0
3163,"I have already set all my pages to have small text, but on the mobile app the text is so large that i can barely see a few lines.","text,",2
2472,"milk and curd delivery is excellent but other products delivery like sweets, snacks, vegetables etc.",vegetables,0
3748,we do not know whether the product is delivered or not.,product,0
974,how are you getting all those stats on the right side bar of youtube?,side bar,1
749,"timely delivery, reasonable prices and good support by the customer service team",customer service team,2
615,copy & paste could not achieve?,copy,1
198,i wonder if my notion site is searchable when i search google or naver for 'yoke (a randomly specified notion site title) '.,searchable,1
2540,"I can't enter it well because the text of the schedule after making a task on iphone overlaps
 ",iphone,1
1747,very very very good service,service,2
2591,"does not open on my poco f1 phone, the app just freezes on splash screen","phone,",0
1724,i was considering maintaining status quo till that point and then switching the email id.,switching,1
1589,i have received 3 charges,charges,0
2683,"apologies, the preview is not full screen in the editor.",full screen,1
263,"Functional, easy to use and collaborate with others, good for work and home.",collaborate,2
288,Crashes while setting up and loading...,setting,0
488,since you are on free plan the video will be exported with istock watermark,watermark,1
1719,business plan 1 mth free trial,trial,2
1029,The free version is very useful,free,2
3146,notion is incredible on desktop but is unusable on android - the app takes ~ 70s just to move beyond the splashscreen.,Android,0
387,"this is a great app, and is continually getting better.","app,",2
2017,"and i used a promo code for annual business plan for $90 final price, but the system charged me only 15usd , can you help /",promo code,1
750,mobile app needs a lot of work!,Mobile app,0
8,"Would love the ability to “un-delete” deleted tasks from the app in an easy to find menu option. 
",tasks,1
2625,and the only links left with the missing workspace are the public ones i shared above which gives me hope that it still exists.,workspace,1
1269,"the lost page is named as "" weekly plan""",weekly,2
3195,best productivity app ever!,APP,2
1190,@kent_boogaart @notionhq is the desktop app normally so much better than their web app?,desktop,1
2865,"the ease to operate and make changes to the order, but the complimentary bag that was promised at the time of ordering was never delivered till date.","operate and make changes to the order,",2
3804,A stupid app that doesn't notify subtasks.,notify subtasks,0
2117,"milk and curd delivery is excellent but other products delivery like sweets, snacks, vegetables etc.",curd,0
1267,features access to 3500+ curated templates full access to image library full access to standard video library 120 istock images and videos free access to creator club's (premium) templates,istock,2
1085,is it possible to get a receipt for our recent payment of the yearly subscription fee,yearly,1
651,"Until they recently upgraded the app and removed ""scroll right do more"" features on each task which you can quickly access due dates, assign, prioritize, or delete.

",scroll,1
1948,can you check project,Project,1
3082,thanks for work on addressing initial feedback of way too slow on mobile.,mobile.,0
2593,product quality in delivery mostly damaged always,Product quality,0
2447,"since we do not have a linux app now, I will add your vote to change that.",Linux,2
1564,"for notetaking, let us just go back to normal onenote/evernote.",onenote/evernote.,0
2244,great app in functionality and cross platform ability but not 5 stars until they can improve startup time.,functionality,2
3911,do not charge extra be more flexible and available,charge extra,0
545,App is slow and freezes alot during use.,slow,0
2490,not happy with quality of spinach and banana.,banana.,0
1215,customer care is in accessible.,Customer care,0
2081,better app from this category.,App,2
1426,hey i want to cancel my free tiral,cancel,1
2168,notion is the best productivity app i ever used!,Notion,2
3378,"all the while, notion is able to organize it in an aesthetically pleasing and easily digestible manner.",Notion,2
472,"Poor SSO integration, never stays signed in",integration,0
2226,good but not great.,Good,2
1194,"post rendering, the audio is not in sync with the video!","rendering,",0
2112,payment modes are not safe.,Payment modes,0
2559,How to change your language to Russian in Asan,Russian,1
3232,"hey, i got charged even though i cancelled my trial",trial,0
2839,how i made a sticky notes wall in @notionhq,Notes,0
2259,"great product, too bad the android app is slow like glue.",android app,0
3935,"stock availability, quality of veges/ fruits and pricing, service fees","Stock availability,",0
2355,"i like this app, but for mobile have not dark theme.",dark theme.,0
2296,but how do i turn the dark mode off on mobile??,dark mode,0
2895,easy to place order with excellent delivery,delivery,2
3578,Very simple and useful app for multiple online co-working tasks,working tasks,1
3887,It's absolutely best Task Manager app by far.,Task,2
1803,update status before 6 pm.and refund amount if not delivered.,delivered.,0
3429,"i realized that the plans were per workspace, not account, after losing some precious information from one of the workspaces that was wondering it had a backup.",workspace,0
3113,i prioritize tasks.,tasks.,1
2659,for milk you will are the best but for.,Milk,0
3029,Please dark mode!,dark mode,0
79,the product is really good but the app needs optimisation.,app,0
3628,i absolutely love notion & rank it,notion,0
3516,we do not have a native zoom feature.,zoom,1
2269,"thoughtful response by @ivanhzhao but really confused, no mention of offline mode or backup options.",offline mode,0
2274,need more tutorials/insights in app.,app.,2
2366,"if items other than milk are ordered and if they cannot be delivered, need to know beforehand.",milk,0
1065,"You can't upgrade to premium for 1 person, it's just for teams of 2 or more.",premium,1
912,"i use it a lot, but would enjoy it more if it did not block on io so much.",block,0
495,do you mean changing email at your bank's end?,email,1
16,"the ease of ordering, timely delivery and best part can use the vacation option when not home.a suggestion.should increase the variety of products sold.","ease of ordering,",2
3895,you want to reduce it and delivery of milk also charging were as local milk distributors delivering milk free.,milk,0
1746,"i can not seem to make it run on my phone, oppo a37f.",Oppo A37f.,0
2882,yeah its on time and vegetables and fruits quality are also good in this situation keep it up thanks for giving us necessary items in lockdown,quality,2
3905,but i have encountered a very irritating problem while using this app and it is that every time i type the cursor just keeps going back to where it was,cursor,0
2334,i am trying to export a pdf of a dashboard 'annual plan' in my notion workspace which has gallery views as the default for the linked databased on the dashboard.,Dashboard,1
2807,"upload your logo in the uploads tab, and then add it on scene as image layer.",logo,1
2854,i use the ipad and while i can type on it,iPad,2
3865,irregular deliveries every month.,deliveries,0
1608,wow amazing note taking app great job guys hope you add feature to voice record classes,voice record,0
2388,"also is it possible to create a shortcut to click on a database entry to select it instead of to input a value - maybe a alt + mouse click or something (i know there is a mouse click > esc, but that is more of a key combo than a shortcut)",shortcut),1
2283,Love timeline.,timeline,2
2952,delivery person does not call before leaving milk and vegetables outside near the main road (since the independent house is on the main road) 3.,milk,0
743,you can update the billing information by using the same information so the page would allow you to write the vat info without a problem.,billing,1
1169,"I can appreciate what this offers, but not only does the free tier lack many things that would make this shine or be truly useful, its lowest pricing plan offers absolutely no upgraded functionality, only a paltry increase in storage.",free,0
1606,add paytm food wallet option as one of the payment options,Paytm Food Wallet,0
2642,"Bug: ""Add Tag"" still not working on android. """,android,1
3589,but it is too darn slow,slow,0
2634,one of the best productivity apps out there.,apps,2
407,so there is images with editable text,images,1
121,I have set up templates that populate each day when i c.,templates,1
2461,or if they are a guest or member?,guest,1
1654,My work team uses Airtable for project management and we have recently begun using it in our new agile workflow.,workflow,1
2080,"ah-ha, i am talking about like 10 usd here:)",USD,1
2872,before it took 40 to 50 seconds to open the app.,app.,2
3641,@notionhq btw usually the images are usually attached under toggle lists if that matters.,images,1
784,i was paying ate the time 5 usd month,pay,1
2157,"orders are confirmed, but not delivered",Orders,0
2510,i did a reset now by following the steps of clearing the cookies and i still have this issue,cookies,0
2777,best of all note taking services.,note taking services.,2
3822,I absolutely love Airtable and am a paid user — it has revolutionized my work and hobbies — but only on lap/desktop.,desktop,1
660,"but if we could import google calendar into this app, it would be great","app,",0
2307,i wish notion had widgets on apple devices,Apple devices,0
3133,It doesn't hold settings.,settings,1
3753,there is a very unpleasant dynamic resizing happening on my tablet (s6 lite).,lite).,0
3976,but i would like to keep my android system in dark mode.,dark mode.,0
1457,it just shows the notion logo.,Notion logo.,0
323,"i think this will work, but can you just wait a few minutes as i download and check?",download,2
2363,great app.,app.,2
3130,notion is the best note apps I have ever used!,Notion,2
1383,"i think notion is good app for note, personal database, but a little complicated to public person.",app,2
11,"-&gt; i want to learn for the future whether we as a team did something wrong (whether a teammate accidently deleted the file -&gt; therefore it would be good to get the mailadress of ""kaiser""), or we got hacked, or whether there was a failure in the notion system.",learn,1
732,i would request you to perform a speed-test once for reference and send us the screenshot.,speed,1
3802,"i can click and drag to highlight text within blocks, but not in title fields or other non-block areas of the app.",app.,2
735,"the application as a whole like, but on android sometimes does not unload the entire to-do list immediately in the calendar, and when I want to slip on the trail the day and the day after tomorrow it returns me to today.",android,0
1693,improve the quality of the products.,quality,0
1971,"i think i may have deleted some of the attempts or stopped them before the export finished - but these are the two recent ones - you can see that in the first export, i still have the logo even though i had hit ""delete"" project id: # project id: #",deleted,0
1599,great app for notes and tasks,tasks,2
329,"products availability, delivery, delivery time, discounts, offers","delivery time,",0
1314,"unfortunately, the bigger your blocks you have, the heavier it loads.. this issue still persists for months.. while the desktop or web version has no issue..",blocks,0
3286,provide reset password instructions.,password,1
3315,el post donde explico como crear una web con @notionhq y @super_,con,1
1133,"e.g. if i export a page titled 'test page' to html, I would get test-page.zip which contains the file 'test page 7dd.html', and i wish it was just 'test page.html' :)",file,1
3906,is the new account created?,account,1
2757,"hello, i was trying out the free trial for invideo, i happened to forget that today was the day that i was going to be charged, i would like to cancel my subscription and gat a refund please.",trial,1
3266,the app is powerful.,app,2
625,"i can download it, share it or duplicate it",download,1
1320,you can adjust the duration of the text box to start from the beginning of the scene.,text,1
3541,app stuck on the loading screen with the logo.,App,0
309,is already listed at the link we sent?,listed,1
1689,no proper transaction history - poor app quality - wrong delivery shown on app very bad service at all,app quality,0
1628,timely and prompt service,service,2
2732,remove service charges.,service charges.,0
3145,"is it a visa, mastercard, amex credit card?",card,1
2065,prompt delivery fresh product unadulterated best app have recommended to all my family and friends keep it up,Fresh,2
1982,but anytime i try to start the video trimmer an error pops up,trim,1
13,"app must support androids ""multi-window"" api to would better on tablets and resize the app on the screen.",Androids,0
2342,"best app ever, i makes my work more easier then ever.now i created my book shelf as i want.really helpful for.and supportive service they give us thank you notion.",app,2
2681,atleast 5-10% discounts to be available to regular subscribers.,discounts,0
1675,"punctuality, online transaction, accurate delivery of items ordered and enhanced product portfolio","Punctuality,",2
1439,will that work as a facebook cover 1:1 on mobile?,facebook,1
1685,"features are awesome options are high, interface is really amazing.",interface,2
2480,this is the app that should be studied by one note developers and all other note taking app teams.,app,2
2558,"I want to use your website to check my tasks but uppon hitting login, your webpage always redirect me to open/download your mobile app.",tasks,1
3885,missing order items is very frequent.,items,0
3858,in this situation covid 19,this,0
179,it would be nice to be able to do the equivalent of an sql where in a rollup.,Rollup.,2
975,@tomfrankly @notionhq @otter_ai @notabilityapp @whimsicalpowers why not using apple notes for all of this?,Apple,1
1552,Great app for personal and business planning and management,personal,1
3607,What's the point of letting me add fields or change names of things if when I hit save it doesn't save and reverts back to the original?,add fields,1
3871,"apart from milk you should stock dairy products like curd, lassi and selected vegetables/ fruits",vegetables/ fruits,0
3840,"this app however, is terrible.",app,0
1073,I am my android,android,1
228,you told me from the timeline.,timeline,1
61,but the app is not.,app,0
222,"i hope this will be fixed also, i hope you add a pomodoro timer into the app :)",pomodoro timer,0
2552,"no coupons or cash back offer, even i did not get super daily bag until now","cash back offer,",0
3138,"quality of delivery and on time delivery, check if the delivery person who is delivering the product is properly delivering quality product",delivery,0
3154,The app leaves a lot to be desired compared to the desktop version.,desktop,1
24,i can look into this for you - could you share the url or name of the page?,share,1
403,how do i cut a scene in half?,scene,1
2797,customer need to ask for refund.,refund.,0
2899,best feature rich productivity app ever.,app,2
2767,Through the browser I use asana daily and love it.,browser,1
1699,"need add basic veggies carrot cauliflower, dry red chillies, bread crumbs.","dry red chillies,",0
3024,"i use firefox entirely, and for some reason they have stopped working.",Firefox,0
2467,improvement does not apply to you.,Improvement,0
2243,Plenty of issues with notifications and now they force a magic link to login into the app.,login,0
3974,"providing all essential items at the door step, especially during lockdown period, is excellent concept put in practice",essential items,2
1615,"I'm learning, but it was very useful and intuitive. It works very well and is a tremendous contribution. 
In the subject of dates, they could include:
✔️ Dates dependent on date of another task, so that changing one changes all dependent dates. Eg. Date = task date X+ 5 or - 5 days.
✔️ Dates including previous or later business day
✔️ Include start-end date ranges",Dates,1
3058,it would be great if it had a homesreen widget to link a specific page / favorites / quick note etc.,specific page,0
379,so the price will be $108 for business yearly plan,price,0
3022,Can't we add reminders to tasks in the free version?,free,1
1714,"regular delivery.payment via food card should be added.also they should add more milk items like rabdi, mozerella cheese etc.",more milk,2
3942,i did drag it from the beginning but it still does not starts at the same time as the video,beginning,1
1526,mobile app - ios or android?,Android?,1
2404,"hello dear sales, we are a company considering moving to notion, however we are facing 2 major issues regarding team tasks collaboration &amp; we found a security bug with policies &amp; shared pages.",shared,0
2048,"Using it both in work, where it keeps track of lots of information for us and for personal purposes where I have created my own 'botanical garden' in order to easily get fit plants to different modes. 
",keeps track,1
2632,i just downloaded it today and trying to use it as a place to organize all my class notes.,notes.,2
3018,"i really like this service, but i can not get the information on the mobile version to match up / synchronize with the information on the pc version.",PC version.,0
3845,"Requires an account and since it’s free, that means they slurp all your data.  ",free,0
434,most times not resolved (for eg nachos and biscuits packets were open or milkshake was missing),milkshake,0
1081,by removing delivery charges and giving more offers,delivery charges,0
814,I am an avid bullet journaler of 3 years and no app was ever good enough to convince me to switch.,app,2
3940,"unlimited lifetime sounds good, how much is that?",lifetime,2
1515,"its basically the cost of an unlimited yearly plan, but you get it for life, and never have to pay a single penny again",plan,0
2255,list items in page inventaire cd,list,2
1498,"i really like your pc apps, but the mobile version needs much optimization and improvement.",mobile version,0
3968,And how to change the language in the application?,language,1
1328,can you have multiple workspace with the paid account.,paid account.,1
1535,only a few suggestions: please make the apps faster and please make the offline working experience better.,apps,2
2758,is there any problem with 5.1.1 android version?,Android version?,0
3505,best note taking app ever !,note,2
3192,can you increase the upload file size to 3gigs?,upload,1
452,I'm using the free version for being a small group and compared to others it's more intuitive and easier to fill out.,free,1
572,No Polish language and dark motif.,language,0
2131,single one time purchase of $49.00 $600.00 all features above included 30 videos/month unlimited team members 1200+ handcrafted templates standard media library video length up to 10 minutes,media,2
1673,order before sleeping get delivery before waking up.,delivery,2
254,Nice for startup small company,company,1
2800,.@sara_loretta shares a great tutorial on how to build client contract proposals using @notionhq and yours truly.,shares,2
3484,costumer support is not responding and milk is not delivered everyday,milk,0
3574,what is the point charging as a supr user and taking 99 rs when you have most of the items out of stock,stock,0
1299,i thought here mentioned not charge any mount after 7 days?,charge,1
586,is there a way my video scen do not resizing,resizing,1
3955,"is there any way to exceed the limit to 20,0 blocks and duplicate the project?",project?,1
3159,It would be helpful to have a kanban view in mobile.,mobile,1
3683,"in ""how to take smart notes"", sonke ahrens ""planning"" more suited for projects but ""structure"" more apt for uncerta.",projects,2
1072,the slow slow slow android experience is killing this for me.,Android,0
1404,"but can you guys add apple pencil support on ipad for writing, like goodnotes and add voice recording like notablity.",add voice,0
432,best app in it is category.,app,2
2936,where i can download a video i did in my computer to my phone ?,computer,1
1988,I’ve used FileMaker Pro for years,FileMaker,1
1128,it is good to know that it also provides discount.,discount.,2
2892,"a 14 day trial, like the other plans, would work perfect",trial,2
3404,give offers .,offers,0
1711,please provide the bag which is supposed to be used for keeping the dairy cool.,bag,0
702,i do not even get any email notification from your site,notification,0
2156,"i want to make 5 second video clips from images, with basic animation and text for instagram updates.",instagram,1
3442,quality of items supplied and brands offered.,Quality,2
1344,"I am actually content with the free version for now too, but will get a plan just out of pure respect for what notion provided for my studying and creative processes",Notion,2
2799,no widgets.,widgets.,0
1210,excellent customer service and support.,customer service,2
2519,Works ok but seems to lag behind the iOS version.,iOS,0
3458,"thirdly, prompt delivery early in the morning.",delivery,2
2326,it is like its trying to add but can not download.,download.,0
827,i wish the ipad app was as good as the computer app.,app.,2
40,The app is nice but there is a nuisance as follows WHY I STILL APPLICATE MAIL,MAIL,0
2052,can you add written text over a video speech,text,1
1956,"awesome service, any chance a dark mode is in the works?",dark mode,0
703,"so, i can now see the coupon code box",code,0
1908,this app is just an accessory for the main desktop pc/mac app.,app,0
880,it happened on both my phone and my laptop,phone,1
